Load History,Distance to Task,Total Distance Traveled
1.0,14.149,6.302
2.0,25.813,25.151
2.0,10.903,27.855
2.0,27.099,21.057
2.0,10.416,20.451
2.0,26.92,25.151
3.0,20.015,38.758
2.0,10.221,21.057
3.0,19.536,30.867
2.0,10.042,25.151
3.0,21.488,38.758
3.0,7.785,31.278
3.0,21.009,30.867
3.0,7.601,35.193
3.0,9.101,38.758
4.0,12.797,39.063
3.0,8.622,30.867
4.0,12.681,42.794
4.0,18.152,47.859
4.0,28.861,39.063
4.0,18.26,39.489000000000004
4.0,28.703,42.794
4.0,18.731,47.859
5.0,34.731,67.924
5.0,34.978,57.74900000000001
4.0,5.924,42.794
0.0,5.111,0.0
0.0,24.12,0.0
0.0,4.623,0.0
0.0,21.896,0.0
1.0,19.476,5.111
0.0,4.591,0.0
1.0,19.585,4.623
0.0,2.513,0.0
1.0,2.645,5.111
1.0,17.209,4.591
1.0,2.836,4.623
1.0,16.88,2.513
2.0,13.77,7.756
1.0,13.816,4.591
2.0,13.204,7.459
1.0,13.487,2.513
2.0,19.927,7.756
2.0,6.828,18.407
2.0,19.361,7.459
2.0,7.161,16.0
2.0,3.021,7.756
3.0,17.039,25.235
2.0,2.745,7.459
3.0,17.173,23.161
3.0,13.976,10.777000000000001
3.0,13.915,25.235
3.0,14.235,10.204
3.0,13.449,23.161
4.0,13.013,24.753
3.0,6.269,25.235
4.0,12.598,24.439
3.0,6.735,23.161
4.0,10.923,24.753
4.0,9.069,31.503999999999998
4.0,11.008,24.439
4.0,9.656,29.896
4.0,27.703,24.753
5.0,28.399,40.573
4.0,27.288,24.439
5.0,28.001,39.552
0.0,11.836,0.0
0.0,6.936,0.0
0.0,20.689,0.0
0.0,11.033,0.0
0.0,31.087,0.0
1.0,19.883,6.936
0.0,4.949,0.0
1.0,19.915,11.033
0.0,21.262,0.0
2.0,9.73,26.819
1.0,9.599,4.949
1.0,10.091,11.033
0.0,29.682,0.0
3.0,9.501,36.549
2.0,9.571,14.548
1.0,19.451,11.033
0.0,6.813,0.0
4.0,23.131,46.05
3.0,22.748,24.119
1.0,5.061,11.033
1.0,19.886,6.813
4.0,3.062,46.05
3.0,2.721,24.119
2.0,19.965,16.094
1.0,11.078,6.813
5.0,25.91,49.111999999999995
4.0,25.918,26.84
2.0,11.07,16.094
2.0,8.788,17.891
5.0,17.822,49.111999999999995
4.0,17.831,26.84
3.0,8.825,27.164
3.0,25.413,26.679
5.0,11.202,49.111999999999995
4.0,11.194,26.84
4.0,25.499,35.989000000000004
3.0,4.18,26.679
6.0,29.09,60.31399999999999
5.0,28.931,38.034
4.0,3.771,35.989000000000004
0.0,24.274,0.0
0.0,10.93,0.0
0.0,4.949,0.0
0.0,15.061,0.0
0.0,11.247,0.0
1.0,28.378,10.93
1.0,27.716,4.949
0.0,21.307,0.0
1.0,5.976,11.247
1.0,22.471,10.93
1.0,21.809,4.949
1.0,6.259,21.307
2.0,12.675,17.223
1.0,26.735,10.93
1.0,26.073,4.949
2.0,12.725,27.566
3.0,4.937,29.898
1.0,22.935,10.93
1.0,22.273,4.949
3.0,4.946,40.291
4.0,10.463,34.835
1.0,17.065,10.93
1.0,16.527,4.949
4.0,10.651,45.236999999999995
4.0,16.201,34.835
2.0,11.086,27.995
2.0,11.631,21.476
4.0,16.513,45.236999999999995
4.0,3.528,34.835
3.0,13.431,39.081
3.0,13.36,33.107
4.0,3.716,45.236999999999995
5.0,11.026,38.363
3.0,18.637,39.081
3.0,18.566,33.107
5.0,11.292,48.952999999999996
6.0,9.07,49.388999999999996
3.0,26.825,39.081
4.0,8.616,51.673
5.0,16.625,48.952999999999996
0.0,23.543,0.0
0.0,30.489,0.0
0.0,21.077,0.0
0.0,13.921,0.0
1.0,28.23,23.543
0.0,11.23,0.0
0.0,11.988,0.0
1.0,28.697,13.921
1.0,22.363,23.543
1.0,12.629,11.23
1.0,12.479,11.988
1.0,22.831,13.921
1.0,23.76,23.543
2.0,4.791,23.859
2.0,4.483,24.467
1.0,24.227,13.921
1.0,5.352,23.543
3.0,23.32,28.650000000000002
3.0,23.312,28.95
1.0,4.719,13.921
2.0,6.183,28.895
3.0,17.17,28.650000000000002
3.0,17.162,28.95
2.0,6.271,18.64
3.0,7.33,35.078
3.0,9.428,28.650000000000002
3.0,9.42,28.95
3.0,7.63,24.911
4.0,14.199,42.408
3.0,21.754,28.650000000000002
3.0,21.662,28.95
4.0,13.813,32.541000000000004
4.0,11.7,42.408
4.0,17.268,50.404
3.0,8.22,28.95
5.0,17.098,46.354000000000006
5.0,19.383,54.108000000000004
4.0,30.308,50.404
4.0,19.974,37.17
5.0,30.137,46.354000000000006
0.0,11.72,0.0
0.0,10.545,0.0
0.0,29.682,0.0
0.0,5.8,0.0
0.0,11.714,0.0
1.0,14.972,10.545
0.0,19.292,0.0
1.0,15.105,5.8
1.0,17.004,11.714
1.0,19.214,10.545
0.0,18.274,0.0
2.0,16.504,20.905
2.0,10.147,28.718000000000004
1.0,17.436,10.545
1.0,10.263,18.274
2.0,7.959,20.905
2.0,4.294,28.718000000000004
2.0,8.475,27.981
2.0,8.296,28.537
2.0,15.012,20.905
3.0,14.232,33.012
2.0,7.212,27.981
3.0,14.282,36.833
2.0,3.247,20.905
3.0,18.119,33.012
3.0,3.841,35.193
3.0,18.169,36.833
3.0,3.808,24.152
3.0,11.265,33.012
4.0,23.798,39.034
3.0,11.315,36.833
4.0,23.639,27.96
4.0,31.115,44.277
4.0,7.497,39.034
4.0,31.048,48.147999999999996
4.0,7.656,27.96
4.0,11.051,44.277
5.0,24.357,46.531
4.0,10.983,48.147999999999996
5.0,24.378,35.616
0.0,3.471,0.0
0.0,26.882,0.0
0.0,30.27,0.0
0.0,24.937,0.0
1.0,21.162,3.471
0.0,6.851,0.0
0.0,15.717,0.0
1.0,21.387,24.937
1.0,11.901,3.471
1.0,10.138,6.851
1.0,10.433,15.717
1.0,12.126,24.937
1.0,27.946,3.471
2.0,16.388,16.989
2.0,16.11,26.15
1.0,28.172,24.937
1.0,6.713,3.471
3.0,21.629,33.377
3.0,21.92,42.26
1.0,6.938,24.937
2.0,11.949,10.184000000000001
3.0,22.811,33.377
3.0,23.103,42.26
2.0,12.032,31.875
3.0,16.912,22.133000000000003
3.0,10.006,33.377
3.0,10.298,42.26
3.0,17.004,43.907
3.0,13.395,22.133000000000003
4.0,9.213,43.383
4.0,9.422,52.558
3.0,13.315,43.907
4.0,18.48,35.528000000000006
4.0,19.211,43.383
5.0,18.242,61.980000000000004
3.0,5.641,43.907
5.0,4.025,54.00800000000001
4.0,15.186,43.383
5.0,14.393,61.980000000000004
4.0,4.175,49.547999999999995
0.0,11.475,0.0
0.0,1.571,0.0
0.0,11.126,0.0
0.0,8.425,0.0
0.0,8.984,0.0
1.0,13.552,1.571
0.0,2.602,0.0
1.0,13.999,8.425
1.0,8.551,8.984
1.0,6.871,1.571
1.0,8.123,2.602
1.0,7.318,8.425
1.0,21.5,8.984
2.0,19.283,8.442
2.0,19.113,10.725
1.0,25.951,8.425
1.0,4.306,8.984
3.0,17.215,27.725
3.0,17.389,29.838
1.0,14.429,8.425
2.0,8.82,13.29
3.0,15.223,27.725
3.0,15.398,29.838
2.0,8.433,22.854
3.0,9.667,22.11
3.0,9.878,27.725
3.0,10.199,29.838
3.0,9.822,31.287
4.0,8.964,31.777
3.0,18.294,27.725
3.0,18.469,29.838
4.0,8.585,41.108999999999995
5.0,15.728,40.741
3.0,31.901,27.725
3.0,32.076,29.838
5.0,15.666,49.693999999999996
5.0,13.165,40.741
4.0,25.826,59.626000000000005
4.0,25.726,61.914
5.0,13.315,49.693999999999996
0.0,5.294,0.0
0.0,13.883,0.0
0.0,8.083,0.0
0.0,6.003,0.0
1.0,8.021,5.294
0.0,11.051,0.0
0.0,5.251,0.0
1.0,7.338,6.003
2.0,16.47,13.315000000000001
0.0,20.378,0.0
1.0,16.699,5.251
1.0,9.26,6.003
3.0,11.253,29.785
0.0,24.171,0.0
1.0,16.789,5.251
2.0,11.186,15.263
4.0,14.424,41.038
0.0,9.651,0.0
1.0,3.921,5.251
3.0,14.075,26.448999999999998
4.0,18.152,41.038
1.0,6.216,9.651
2.0,5.471,9.172
3.0,17.803,26.448999999999998
4.0,5.812,41.038
2.0,24.036,15.867
3.0,23.914,14.643
3.0,6.036,26.448999999999998
5.0,26.995,46.849999999999994
2.0,17.326,15.867
3.0,18.021,14.643
4.0,26.683,32.485
5.0,22.615,46.849999999999994
3.0,16.241,33.193
4.0,15.82,32.664
4.0,22.302,32.485
5.0,34.74,46.849999999999994
4.0,13.178,49.434
5.0,13.262,48.484
4.0,34.428,32.485
0.0,10.489,0.0
0.0,15.778,0.0
0.0,6.562,0.0
0.0,16.998,0.0
1.0,23.549,10.489
0.0,10.157,0.0
1.0,23.166,6.562
0.0,11.796,0.0
1.0,9.13,10.489
1.0,18.125,10.157
1.0,9.154,6.562
1.0,18.42,11.796
2.0,21.022,19.619
1.0,5.261,10.157
2.0,20.986,15.716000000000001
1.0,4.966,11.796
2.0,19.247,19.619
2.0,31.726,15.418
2.0,19.383,15.716000000000001
2.0,32.376,16.762
3.0,9.487,38.866
2.0,23.388,15.418
3.0,9.43,35.099000000000004
2.0,24.038,16.762
4.0,16.656,48.353
2.0,10.414,15.418
4.0,16.652,44.529
2.0,10.894,16.762
4.0,5.127,48.353
3.0,17.186,25.832
4.0,4.853,44.529
3.0,16.683,27.656
5.0,8.931,53.480000000000004
3.0,10.673,25.832
5.0,9.131,49.382000000000005
3.0,10.377,27.656
5.0,9.583,53.480000000000004
4.0,15.302,36.505
5.0,9.695,49.382000000000005
4.0,15.259,38.033
0.0,13.466,0.0
0.0,14.526,0.0
0.0,6.554,0.0
0.0,7.742,0.0
1.0,16.833,13.466
0.0,30.72,0.0
1.0,16.05,6.554
0.0,15.361,0.0
2.0,11.727,30.299
0.0,25.61,0.0
1.0,10.609,6.554
1.0,12.048,15.361
3.0,17.648,42.025999999999996
0.0,8.792,0.0
2.0,17.567,17.163
1.0,23.104,15.361
3.0,9.046,42.025999999999996
1.0,10.658,8.792
3.0,11.258,34.730000000000004
1.0,16.172,15.361
3.0,21.497,42.025999999999996
2.0,12.801,19.45
3.0,4.271,34.730000000000004
2.0,13.063,31.533
3.0,10.556,42.025999999999996
3.0,19.194,32.251
4.0,19.51,39.001000000000005
2.0,6.54,31.533
4.0,7.104,52.581999999999994
3.0,14.188,32.251
4.0,14.545,39.001000000000005
3.0,6.675,38.073
5.0,10.07,59.68599999999999
3.0,7.644,32.251
4.0,8.001,39.001000000000005
4.0,10.191,44.748
5.0,19.87,59.68599999999999
4.0,9.659,39.894999999999996
5.0,9.675,47.002
4.0,19.991,44.748
0.0,12.995,0.0
0.0,15.361,0.0
0.0,15.988,0.0
0.0,21.927,0.0
1.0,18.412,12.995
0.0,21.896,0.0
1.0,18.474,15.988
0.0,15.947,0.0
2.0,7.588,31.406999999999996
0.0,29.07,0.0
1.0,23.895,15.988
1.0,7.459,15.947
3.0,19.856,38.995
0.0,9.413,0.0
1.0,9.261,15.988
2.0,19.473,23.406
3.0,9.892,38.995
1.0,10.879,9.413
2.0,11.279,25.249
2.0,10.109,23.406
3.0,23.44,38.995
2.0,13.955,20.292
2.0,5.646,25.249
3.0,13.789,33.515
3.0,21.189,38.995
3.0,6.108,34.247
3.0,5.791,30.895
3.0,11.455,33.515
3.0,6.625,38.995
4.0,14.893,40.355
4.0,14.743,36.686
3.0,3.191,33.515
4.0,7.988,45.62
4.0,16.637,40.355
4.0,16.722,36.686
4.0,8.208,36.706
5.0,4.006,53.608
4.0,13.278,40.355
4.0,13.362,36.686
5.0,3.97,44.914
0.0,16.542,0.0
0.0,16.991,0.0
0.0,10.521,0.0
0.0,11.59,0.0
1.0,22.863,16.542
0.0,8.118,0.0
1.0,22.654,10.521
0.0,11.118,0.0
1.0,14.243,16.542
1.0,9.802,8.118
1.0,14.034,10.521
1.0,9.57,11.118
1.0,13.221,16.542
2.0,19.452,17.92
1.0,13.512,10.521
2.0,19.797,20.688000000000002
2.0,23.045,29.763
2.0,7.541,17.92
2.0,23.412,24.033
2.0,7.486,20.688000000000002
2.0,22.203,29.763
3.0,7.706,25.461000000000002
2.0,22.736,24.033
3.0,7.547,28.174000000000003
