,Winning Robot,Inference Time,Suitability
0,Robot 3,2.69,8.51
1,Robot 5,1.71,8.12
2,Robot 3,2.33,6.63
3,Robot 5,2.28,7.22
4,Robot 2,1.76,7.92
5,Robot 6,1.99,6.79
6,Robot 2,2.11,6.94
7,Robot 4,1.83,6.23
8,Robot 4,2.16,7.22
9,Robot 6,2.05,6.12
10,Robot 1,2.0,8.04
11,Robot 4,2.32,5.52
12,Robot 5,1.85,5.87
13,Robot 5,3.23,5.18
14,Robot 1,2.47,8.18
15,Robot 6,2.23,5.36
16,Robot 1,1.61,6.54
17,Robot 4,2.28,6.32
18,Robot 3,1.39,6.37
19,Robot 3,2.18,6.1
