,Winning Robot,Inference Time,Suitability
0,Robot 3,2.01,7.94
1,Robot 5,1.2,7.89
2,Robot 3,1.8,6.4
3,Robot 5,1.75,7.33
4,Robot 2,1.3,8.03
5,Robot 6,1.54,6.83
6,Robot 2,1.66,6.96
7,Robot 4,1.05,6.06
8,Robot 4,1.65,6.85
9,Robot 5,1.59,6.5
10,Robot 1,1.28,7.93
11,Robot 4,2.25,5.8
12,Robot 6,1.45,6.09
13,Robot 6,2.52,5.5
14,Robot 1,1.51,7.52
15,Robot 5,1.7,4.97
16,Robot 1,1.11,6.68
17,Robot 4,1.43,6.3
18,Robot 3,0.9,6.6
19,Robot 3,1.75,5.64
